crop_name,agro_zone,crop_group,temp_lo,temp_hi,ph_lo,ph_hi,seasons_text,ph_is_real,temp_is_real
Adapathiyan,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,Rainfed crop planted with onset of monsoon in May-June; irrigated crop can be planted any time,False,False
Agathi,General (all zones),Fodder Crops,22.0,32.0,5.0,6.5,General,False,False
Ailanthus or Matti,General (all zones),Agroforestry,22.0,32.0,5.0,6.5,Onset of rains (June planting; also Oct-Nov planting option),False,False
Amaranth,General (all zones),Vegetables,22.0,32.0,5.0,6.5,Year-round (avoid sowing red-leaved varieties during periods of heavy rain; rainy season planting on raised beds),False,False
Anthurium,High Hills,Ornamental Plants,18.0,28.0,5.6,6.5,,False,True
Anthurium,Midland Laterites,Ornamental Plants,18.0,28.0,5.6,6.5,,False,True
Apple,High Hills,Fruits,3.0,11.0,5.9,6.5,Late winter (planting),False,True
Arecanut,Coastal Plain,Beverages and Stimulants,24.0,33.0,6.0,6.5,Field planting: May-June in well-drained soils; August-September in clayey soils,False,False
Arecanut,Foothills,Beverages and Stimulants,20.0,30.0,6.0,6.5,Field planting: May-June in well-drained soils; August-September in clayey soils,False,False
Arecanut,High Hills,Beverages and Stimulants,12.0,25.0,6.0,6.5,Field planting: May-June in well-drained soils; August-September in clayey soils,False,False
Arecanut,Midland Laterites,Beverages and Stimulants,23.0,32.0,6.0,6.5,Field planting: May-June in well-drained soils; August-September in clayey soils,False,False
Arecanut,Palakkad Plain,Beverages and Stimulants,24.0,36.0,6.0,6.5,Field planting: May-June in well-drained soils; August-September in clayey soils,False,False
Arrow root,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,General,False,False
Ash gourd,General (all zones),Cucurbitaceous Vegetables,22.0,32.0,5.0,6.5,"January-March | September-December | May-June (rainfed crop, sown after receipt of first showers)",False,False
Asoka,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,Planted with onset of monsoon in May-June,False,False
Banana,Coastal Plain,Fruits,23.0,31.0,5.9,6.5,"General (all zones) | January planting (rainfed,  pot-irrigated at 9 litres/plant once in 15 days until April-May)",False,True
Banana,Midland Laterites,Fruits,23.0,31.0,5.9,6.5,April-May (rainfed) | August-September (irrigated),False,True
Beet root,High Hills,Cool Season Vegetables,12.0,25.0,5.2,7.0,August-January,False,False
Betel vine,General (all zones),Beverages and Stimulants,10.0,40.0,6.0,6.5,Edavakodi: planted May-June | Thulakodi: planted August-September,False,True
Bitter gourd,General (all zones),Cucurbitaceous Vegetables,22.0,32.0,5.0,6.5,"January-March | September-December | May-June (rainfed crop, sown after receipt of first showers)",False,False
Black gram,General (all zones),Pulses,22.0,32.0,5.0,6.5,Throughout the year,False,False
Black pepper,General (all zones),Spices and Condiments,10.0,40.0,5.0,6.5,April-May (planting of standards/support trees with onset of pre-monsoon showers) | June-July (planting of rooted pepper cuttings with onset of southwest monsoon),False,True
Bottle gourd,General (all zones),Cucurbitaceous Vegetables,22.0,32.0,5.0,6.5,"January-March | September-December | May-June (rainfed crop, sown after receipt of first showers)",False,False
Brahmi,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,General,False,False
Brinjal,General (all zones),Solanaceous Vegetables,22.0,32.0,5.0,6.5,"May-June (rainfed crop, before onset of southwest monsoon) | September-October (irrigated crop)",False,False
Cabbage,High Hills,Cool Season Vegetables,12.0,25.0,5.2,7.0,October-November,False,False
Cabbage,Midland Laterites,Cool Season Vegetables,23.0,32.0,5.2,7.0,October-November,False,False
Camboge,General (all zones),Spices and Condiments,22.0,32.0,5.0,6.5,Onset of monsoon showers (field planting),False,False
Cardamom,High Hills,Spices and Condiments,10.0,35.0,5.0,6.5,"Onset of southwest monsoon (main field planting, before heavy rains)",False,True
Carrot,High Hills,Cool Season Vegetables,12.0,25.0,5.2,7.0,August-January,False,False
Carrot,Midland Laterites,Cool Season Vegetables,23.0,32.0,5.2,7.0,,False,False
Cashew,Coastal Plain,Commercial Crops,24.0,33.0,5.0,6.5,"Onset of southwest monsoon (June-July, main planting of grafts)",False,False
Cashew,Foothills,Commercial Crops,20.0,30.0,5.0,6.5,"Onset of southwest monsoon (June-July, main planting of grafts)",False,False
Cashew,High Hills,Commercial Crops,12.0,25.0,5.0,6.5,"Onset of southwest monsoon (June-July, main planting of grafts)",False,False
Cashew,Midland Laterites,Commercial Crops,23.0,32.0,5.0,6.5,"Onset of southwest monsoon (June-July, main planting of grafts)",False,False
Cassia,General (all zones),Green Leaf Manure Crops,22.0,32.0,5.0,6.5,General,False,False
Casuarina,Coastal Plain,Agroforestry,24.0,33.0,5.0,6.5,Onset of monsoon (site prep/planting); nursery sown Nov-Dec,False,False
Cauliflower,High Hills,Cool Season Vegetables,12.0,25.0,5.2,7.0,October-November,False,False
Cauliflower,Midland Laterites,Cool Season Vegetables,23.0,32.0,5.2,7.0,October-November,False,False
Chadachi,High Hills,Agroforestry,12.0,25.0,5.0,6.5,Planting and management similar to Venga (before onset of monsoon),False,False
Chengazhinirkizhangu,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,Optimum planting with receipt of pre-monsoon showers in May-June,False,False
Chethikoduveli,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,Planting June-July,False,False
Chilli,General (all zones),Solanaceous Vegetables,22.0,32.0,5.0,6.5,"May-June (rainfed crop, before onset of southwest monsoon) | September-October (irrigated crop)",False,False
China aster,General (all zones),Ornamental Plants,22.0,32.0,5.6,6.5,,False,False
Chittadalotakam,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,General,False,False
Chittaratha,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,Rainfed crop planted with onset of monsoon in May-June; irrigated crop can be planted at any time,False,False
Cinnamon,General (all zones),Spices and Condiments,22.0,32.0,5.0,6.5,Southwest monsoon (planting of 1-2 year old seedlings in main field),False,False
Clove,General (all zones),Spices and Condiments,22.0,32.0,5.0,6.5,May-June | August-September,False,False
Cocoa,General (all zones),Beverages and Stimulants,10.0,38.0,6.0,6.5,"Seeds sown by December-January so that 4-6 month old seedlings are available for planting by May-June | In high rainfall zones, April sowing may be taken up so that 4 month old seedlings are available for post-monsoon planting in August",False,True
Coconut,Coastal Plain,Oil Seeds,23.0,33.0,5.0,8.0,May (planting with onset of pre-monsoon rains) | September (planting in low-lying areas after cessation of heavy rains) | May (planting),True,True
Coconut,Foothills,Oil Seeds,20.0,30.0,5.0,8.0,May (planting),True,False
Coconut,High Hills,Oil Seeds,12.0,25.0,5.0,8.0,May (planting),True,False
